Fecha;Id_Ick;Zona;Ruta_CE;COP;Servicio Bus;Coche;Viaje Línea;Sentido;Bus;Hora Teórica;Km_Programado;Operador_programado;Operador Ejecutado;KM_Elim_EIC;km EIC;Km Descontados Inicio de Viaje;Km Descontados fin de Viaje;Responsable;Observación;Validador EIC;Titulo Validador;Revisor;Objeta;Pruebas;Observacion_novedad;Responsable_#2
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40005;5;7;Ida;Z15-4240;7:57:00 p. m.;0;158319;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40007;7;7;Ida;Z15-4235;8:07:00 p. m.;0;157769;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40012;12;7;Ida;Z15-4270;8:42:00 p. m.;0;157704;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40025;25;7;Ida;Z15-4097;10:12:30 p. m.;0;157554;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40029;29;5;Ida;Z17-4009;5:15:00 p. m.;0;153566;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40029;29;7;Ida;;10:30:00 p. m.;0;157358;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40032;32;5;Ida;Z15-4238;6:03:00 p. m.;0;157928;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;111;BOSA;CDGS40033;33;5;Ida;Z15-4249;6:17:00 p. m.;0;157927;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;114A;GAVIOTAS B;CDGP90002;2;7;Ida;Z15-2001;7:52:00 p. m.;0;158316;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;114A;GAVIOTAS B;CDGP90002;2;8;Ida;;10:00:00 p. m.;0;158316;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;139;GAVIOTAS A;CDGK30012;12;7;Ida;;6:50:00 p. m.;0;152457;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;139;GAVIOTAS A;CDGK30015;15;7;Ida;Z15-4161;7:22:00 p. m.;0;155350;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;139;GAVIOTAS A;CDGK30019;19;5;Ida;Z15-4135;2:21:00 p. m.;0;157043;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;139;GAVIOTAS A;CDGK30019;19;7;Ida;Z15-4135;7:46:00 p. m.;0;157043;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;139;GAVIOTAS A;CDGK30031;31;5;Ida;;3:49:00 p. m.;0;156150;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;139;GAVIOTAS A;CDGK30031;31;7;Ida;;9:06:00 p. m.;0;156150;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;148;GAVIOTAS A;CDGOV0010;10;3;Ida;Z15-4390;2:24:00 p. m.;0;158111;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;148;GAVIOTAS A;CDGOV0011;11;3;Ida;Z15-4160;6:21:00 p. m.;0;156611;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;148;GAVIOTAS A;CDGOV0012;12;3;Ida;Z15-4155;6:50:00 p. m.;0;157301;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;148;GAVIOTAS A;CDGOV0013;13;3;Ida;Z15-4144;3:19:00 p. m.;0;154846;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;148;GAVIOTAS A;CDGOV0017;17;2;Ida;Z15-4332;12:49:00 p. m.;0;155419;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;148;GAVIOTAS A;CDGOV0018;18;3;Ida;Z15-4396;8:00:00 p. m.;0;156731;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;228;CRUCES;CDGV40006;6;5;Ida;Z15-4404;12:58:30 p. m.;0;156826;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;228;CRUCES;CDGV40006;6;6;Vuelta;;3:35:30 p. m.;0;156826;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;228;CRUCES;CDGV40006;6;7;Ida;;6:47:00 p. m.;0;157282;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
1/10/2021;;SAN CRISTÓBAL;228;CRUCES;CDGV40006;6;8;Vuelta;;9:08:30 p. m.;0;157282;;0;0;0;0;Sustituido;Sustituido;20;Sustituido;;;;;
